name,time,flow_in,flow_out,pressure_in,pressure_out
branch24_seg0,5.0000000000000000e-01,5.9517724254093669e-05,5.9517724254111321e-05,5.3109601999741535e+04,5.1992612507174563e+04
branch24_seg0,7.5000000000000000e-01,5.9517724253136792e-05,5.9517724253131615e-05,5.3109601999216626e+04,5.1992612506665770e+04
branch24_seg0,1.0000000000000000e+00,5.9517724253603074e-05,5.9517724253603819e-05,5.3109601999373393e+04,5.1992612506814701e+04
branch25_seg0,0.0000000000000000e+00,5.9517724256272441e-05,5.9517724256428688e-05,5.4405993544629579e+04,5.3109602002280488e+04
branch25_seg0,2.5000000000000000e-01,5.9517724252128545e-05,5.9517724252066631e-05,5.4405993540482807e+04,5.3109601998214966e+04
branch25_seg0,5.0000000000000000e-01,5.9517724254071029e-05,5.9517724254093669e-05,5.4405993542047137e+04,5.3109601999741535e+04
branch25_seg0,7.5000000000000000e-01,5.9517724253143887e-05,5.9517724253136792e-05,5.4405993541504322e+04,5.3109601999216626e+04
branch25_seg0,1.0000000000000000e+00,5.9517724253601658e-05,5.9517724253603074e-05,5.4405993541669915e+04,5.3109601999373393e+04
branch26_seg0,0.0000000000000000e+00,5.9517724256015458e-05,5.9517724256272441e-05,5.6409893253886046e+04,5.4405993544629579e+04
branch26_seg0,2.5000000000000000e-01,5.9517724252232209e-05,5.9517724252128545e-05,5.6409893249626570e+04,5.4405993540482807e+04
branch26_seg0,5.0000000000000000e-01,5.9517724254031950e-05,5.9517724254071029e-05,5.6409893251244015e+04,5.4405993542047137e+04
branch26_seg0,7.5000000000000000e-01,5.9517724253156945e-05,5.9517724253143887e-05,5.6409893250675552e+04,5.4405993541504322e+04
branch26_seg0,1.0000000000000000e+00,5.9517724253598392e-05,5.9517724253601658e-05,5.6409893250854082e+04,5.4405993541669915e+04
branch27_seg0,0.0000000000000000e+00,5.9517724255648719e-05,5.9517724256015458e-05,5.9013434456911440e+04,5.6409893253886046e+04
branch27_seg0,2.5000000000000000e-01,5.9517724252384017e-05,5.9517724252232209e-05,5.9013434452529662e+04,5.6409893249626570e+04
branch27_seg0,5.0000000000000000e-01,5.9517724253972292e-05,5.9517724254031950e-05,5.9013434454205992e+04,5.6409893251244015e+04
branch27_seg0,7.5000000000000000e-01,5.9517724253178507e-05,5.9517724253156945e-05,5.9013434453608257e+04,5.6409893250675552e+04
branch27_seg0,1.0000000000000000e+00,5.9517724253591785e-05,5.9517724253598392e-05,5.9013434453802067e+04,5.6409893250854082e+04
branch28_seg0,0.0000000000000000e+00,5.9517724255168154e-05,5.9517724255648719e-05,6.2046990450497113e+04,5.9013434456911440e+04
branch28_seg0,2.5000000000000000e-01,5.9517724252589040e-05,5.9517724252384017e-05,6.2046990446009899e+04,5.9013434452529662e+04
branch28_seg0,5.0000000000000000e-01,5.9517724253887975e-05,5.9517724253972292e-05,6.2046990447738797e+04,5.9013434454205992e+04
branch28_seg0,7.5000000000000000e-01,5.9517724253211379e-05,5.9517724253178507e-05,6.2046990447113698e+04,5.9013434453608257e+04
branch28_seg0,1.0000000000000000e+00,5.9517724253580041e-05,5.9517724253591785e-05,6.2046990447322591e+04,5.9013434453802067e+04
branch29_seg0,0.0000000000000000e+00,5.9517724254569972e-05,5.9517724255168154e-05,6.5364254417980243e+04,6.2046990450497113e+04
branch29_seg0,2.5000000000000000e-01,5.9517724252852244e-05,5.9517724252589040e-05,6.5364254413428316e+04,6.2046990446009899e+04
branch29_seg0,5.0000000000000000e-01,5.9517724253774961e-05,5.9517724253887975e-05,6.5364254415192125e+04,6.2046990447738797e+04
